	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
sample-13	0.0	0.3383701103029558	0.36107921351141326	0.38858506968709294	0.3659564714235399	0.3830626540914961	0.3765652341631679	0.4044892688026567	0.40761107166617283	0.44103068691962366	0.3922033197108531	0.40942802354769636
sample-14	0.3383701103029558	0.0	0.36189097170586626	0.3860391008044904	0.36312649898530225	0.39429309390566386	0.3794365771980925	0.3797250532506667	0.40616086453365835	0.4366364586769236	0.4047442011281874	0.40357576130283834
sample-15	0.36107921351141326	0.36189097170586626	0.0	0.3063470322187498	0.3463076742456854	0.4067188085268154	0.38627278876956017	0.43683324854224553	0.447449838151517	0.4614330998317223	0.4150074634792672	0.4426474945631209
sample-16	0.38858506968709294	0.3860391008044904	0.3063470322187498	0.0	0.3583822978571149	0.3924302989305142	0.3736156224318084	0.47483717315830964	0.47921798391019227	0.4941673049292507	0.4429080175098255	0.4924207948745185
sample-17	0.3659564714235399	0.36312649898530225	0.3463076742456854	0.3583822978571149	0.0	0.32217072638940913	0.3856343398314987	0.4194866691638108	0.41151220712133324	0.42733478316775775	0.382396252047565	0.4162899519765641
sample-18	0.3830626540914961	0.39429309390566386	0.4067188085268154	0.3924302989305142	0.32217072638940913	0.0	0.3967775659553533	0.43205662181124943	0.4405286491382057	0.4511799005987555	0.39546824247642154	0.42442318766038095
sample-19	0.3765652341631679	0.3794365771980925	0.38627278876956017	0.3736156224318084	0.3856343398314987	0.3967775659553533	0.0	0.35662125218733054	0.3726104287447378	0.38634211247211675	0.34752531153736493	0.3915223820518698
sample-20	0.4044892688026567	0.3797250532506667	0.43683324854224553	0.47483717315830964	0.4194866691638108	0.43205662181124943	0.35662125218733054	0.0	0.2967613531539489	0.3210537202788602	0.30732762717265516	0.3037049046519559
sample-21	0.40761107166617283	0.40616086453365835	0.447449838151517	0.47921798391019227	0.41151220712133324	0.4405286491382057	0.3726104287447378	0.2967613531539489	0.0	0.2898110929105333	0.29063291422309934	0.30329567118202505
sample-22	0.44103068691962366	0.4366364586769236	0.4614330998317223	0.4941673049292507	0.42733478316775775	0.4511799005987555	0.38634211247211675	0.3210537202788602	0.2898110929105333	0.0	0.2954073047056258	0.3296867574956253
sample-23	0.3922033197108531	0.4047442011281874	0.4150074634792672	0.4429080175098255	0.382396252047565	0.39546824247642154	0.34752531153736493	0.30732762717265516	0.29063291422309934	0.2954073047056258	0.0	0.31246876240419075
sample-24	0.40942802354769636	0.40357576130283834	0.4426474945631209	0.4924207948745185	0.4162899519765641	0.42442318766038095	0.3915223820518698	0.3037049046519559	0.30329567118202505	0.3296867574956253	0.31246876240419075	0.0
