	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
sample-13	0.0	0.6180298719772404	0.6195104709728727	0.6416282731673179	0.636794732390963	0.6458647728953987	0.6448318622802538	0.6502151576359005	0.6580728327425073	0.6463644948064211	0.6416502393691917	0.6511979970304812
sample-14	0.6180298719772404	0.0	0.6309299289133904	0.6485696764185996	0.6336836514019046	0.6609903160972045	0.703537853924459	0.6669669886117918	0.6817953140721575	0.6700322078674049	0.6830746439513821	0.6757420456972026
sample-15	0.6195104709728727	0.6309299289133904	0.0	0.5803621604745551	0.6147213393334802	0.6539041302381671	0.6568716649863525	0.6750390153411265	0.6830022985795957	0.6643490197248665	0.6613448481577228	0.6697752412332314
sample-16	0.6416282731673179	0.6485696764185996	0.5803621604745551	0.0	0.6205645797192871	0.6454262335124572	0.6567119901112485	0.7024579935575611	0.7060811795215478	0.6864551952271251	0.6796436726524399	0.7076250467397245
sample-17	0.636794732390963	0.6336836514019046	0.6147213393334802	0.6205645797192871	0.0	0.6022864215223268	0.6737969255460541	0.6743174087580057	0.6713578719455614	0.6571259129783382	0.6526747016564745	0.6624111729781278
sample-18	0.6458647728953987	0.6609903160972045	0.6539041302381671	0.6454262335124572	0.6022864215223268	0.0	0.6804665154354472	0.687352334240512	0.6948254177397137	0.6711415525114155	0.6644996517297422	0.677450304320451
sample-19	0.6448318622802538	0.703537853924459	0.6568716649863525	0.6567119901112485	0.6737969255460541	0.6804665154354472	0.0	0.6430694815337331	0.6465846200500367	0.621207446261442	0.6249385990765302	0.658214657867315
sample-20	0.6502151576359005	0.6669669886117918	0.6750390153411265	0.7024579935575611	0.6743174087580057	0.687352334240512	0.6430694815337331	0.0	0.5855307640297498	0.5633591275671793	0.5923305805197959	0.5869751771922576
sample-21	0.6580728327425073	0.6817953140721575	0.6830022985795957	0.7060811795215478	0.6713578719455614	0.6948254177397137	0.6465846200500367	0.5855307640297498	0.0	0.546827191698816	0.5808091701845746	0.5930340014658552
sample-22	0.6463644948064211	0.6700322078674049	0.6643490197248665	0.6864551952271251	0.6571259129783382	0.6711415525114155	0.621207446261442	0.5633591275671793	0.546827191698816	0.0	0.5510319479785128	0.5736864174434733
sample-23	0.6416502393691917	0.6830746439513821	0.6613448481577228	0.6796436726524399	0.6526747016564745	0.6644996517297422	0.6249385990765302	0.5923305805197959	0.5808091701845746	0.5510319479785128	0.0	0.5967707925414947
sample-24	0.6511979970304812	0.6757420456972026	0.6697752412332314	0.7076250467397245	0.6624111729781278	0.677450304320451	0.658214657867315	0.5869751771922576	0.5930340014658552	0.5736864174434733	0.5967707925414947	0.0
