Plot ,Row,Species ,Count,Sample
Low,2.5,Alfalfa,0,1
Low,6.5,Alfalfa,0,1
Low,10.5,Alfalfa,0,1
Low,14.5,Alfalfa,0,1
Low,18.5,Alfalfa,0,1
Low,22.5,Alfalfa,0,1
Up,9.5,Alfalfa,0,1
Up,25.5,Alfalfa,0,1
Up,30.5,Alfalfa,0,1
Up,33.5,Alfalfa,0,1
Up,37.5,Alfalfa,0,1
Up,45.5,Alfalfa,0,1
Low,2.5,Alfalfa,0,2
Low,6.5,Alfalfa,0,2
Low,10.5,Alfalfa,0,2
Low,14.5,Alfalfa,0,2
Low,18.5,Alfalfa,0,2
Low,22.5,Alfalfa,0,2
Up,9.5,Alfalfa,0,2
Up,25.5,Alfalfa,0,2
Up,30.5,Alfalfa,0,2
Up,33.5,Alfalfa,0,2
Up,45.5,Alfalfa,0,2
Low,6.5,Alfalfa,0,3
Low,10.5,Alfalfa,0,3
Low,14.5,Alfalfa,0,3
Low,18.5,Alfalfa,0,3
Low,22.5,Alfalfa,0,3
Up,9.5,Alfalfa,0,3
Up,25.5,Alfalfa,0,3
Up,30.5,Alfalfa,0,3
Up,37.5,Alfalfa,0,3
Up,45.5,Alfalfa,0,3
Up,33.5,Alfalfa,3,3
Up,37.5,Alfalfa,8,2
Low,2.5,Alfalfa,10,3
Up,9.5,Black Medic ,0,1
Up,25.5,Black Medic ,0,1
Up,33.5,Black Medic ,0,1
Up,37.5,Black Medic ,0,1
Up,45.5,Black Medic ,0,1
Up,30.5,Black Medic ,0,2
Up,33.5,Black Medic ,0,2
Up,37.5,Black Medic ,0,2
Up,45.5,Black Medic ,0,2
Up,30.5,Black Medic ,0,3
Up,33.5,Black Medic ,0,3
Up,37.5,Black Medic ,0,3
Up,45.5,Black Medic ,0,3
Up,30.5,Black Medic ,1,1
Up,9.5,Black Medic ,1,2
Low,22.5,Black Medic ,3,1
Up,25.5,Black Medic ,3,2
Low,18.5,Black Medic ,3,3
Low,22.5,Black Medic ,3,3
Low,18.5,Black Medic ,4,1
Low,22.5,Black Medic ,4,2
Up,9.5,Black Medic ,4,3
Low,6.5,Black Medic ,5,3
Low,6.5,Black Medic ,6,2
Up,25.5,Black Medic ,6,3
Low,14.5,Black Medic ,8,1
