Isolate,Slope,Max,Treatment,Type,Test
Agrococcus jenensis,0.300453775,0.312,0mg | pH8.5,Bacteria,ControlP
Agrococcus jenensis,0.303162299,0.465,0mg | pH8.5,Bacteria,ControlP
Agrococcus jenensis,0.307653235,0.318,0mg | pH8.5,Bacteria,ControlP
Agrococcus jenensis,0.349658044,0.645,0mg | pH8.5,Bacteria,ControlP
Alternaria sorghi,0.241116264,0.498,0mg | pH8.5,Fungi,ControlP
Alternaria sorghi,0.262998696,0.455,0mg | pH8.5,Fungi,ControlP
Alternaria sorghi,0.265406153,0.49,0mg | pH8.5,Fungi,ControlP
Alternaria sorghi,0.278617108,0.482,0mg | pH8.5,Fungi,ControlP
Aspergillus iizukae,0.283274023,0.457,0mg | pH8.5,Fungi,ControlP
Aspergillus iizukae,0.258783119,0.472,0mg | pH8.5,Fungi,ControlP
Aspergillus iizukae,0.293368432,0.472,0mg | pH8.5,Fungi,ControlP
Aspergillus iizukae,0.301028240,0.814,0mg | pH8.5,Fungi,ControlP
Bacillus thuringiensis,0.504217388,0.299,0mg | pH8.5,Bacteria,ControlP
Bacillus thuringiensis,0.489092361,0.306,0mg | pH8.5,Bacteria,ControlP
Bacillus thuringiensis,0.529382066,0.434,0mg | pH8.5,Bacteria,ControlP
Bacillus thuringiensis,0.508093368,0.57,0mg | pH8.5,Bacteria,ControlP
Cladosporium cladosporioides,0.272713369,0.443,0mg | pH8.5,Fungi,ControlP
Cladosporium cladosporioides,0.247797708,0.461,0mg | pH8.5,Fungi,ControlP
Cladosporium cladosporioides,0.226234382,0.485,0mg | pH8.5,Fungi,ControlP
Cladosporium cladosporioides,0.280752344,0.478,0mg | pH8.5,Fungi,ControlP
Curvularia inaequalis,0.20688196,0.401,0mg | pH8.5,Fungi,ControlP
Curvularia inaequalis,0.21933159,0.415,0mg | pH8.5,Fungi,ControlP
Curvularia inaequalis,0.20478595,0.404,0mg | pH8.5,Fungi,ControlP
Curvularia inaequalis,0.20808020,0.439,0mg | pH8.5,Fungi,ControlP
Lysinibacillus xylanilyticus,0.2645594,0.395,0mg | pH8.5,Bacteria,ControlP
Lysinibacillus xylanilyticus,0.2689376,0.383,0mg | pH8.5,Bacteria,ControlP
Lysinibacillus xylanilyticus,0.3204145,0.4,0mg | pH8.5,Bacteria,ControlP
Lysinibacillus xylanilyticus,0.3952139,0.398,0mg | pH8.5,Bacteria,ControlP
Mortierella alpina,0.225989804,0.339,0mg | pH8.5,Fungi,ControlP
Mortierella alpina,0.226964739,0.385,0mg | pH8.5,Fungi,ControlP
Mortierella alpina,0.224153121,0.44,0mg | pH8.5,Fungi,ControlP
Mortierella alpina,0.27966772,0.393,0mg | pH8.5,Fungi,ControlP
Penicillium camemberti,0.249795633,0.643,0mg | pH8.5,Fungi,ControlP
Penicillium camemberti,0.216295312,0.625,0mg | pH8.5,Fungi,ControlP
Penicillium camemberti,0.226020946,0.652,0mg | pH8.5,Fungi,ControlP
Penicillium camemberti,0.205148549,0.641,0mg | pH8.5,Fungi,ControlP
Penicillium chrysogenum,0.1682851706,0.58,0mg | pH8.5,Fungi,ControlP
Penicillium chrysogenum,0.1759117445,0.578,0mg | pH8.5,Fungi,ControlP
Penicillium chrysogenum,0.1776518436,0.587,0mg | pH8.5,Fungi,ControlP
Penicillium chrysogenum,0.1835830855,0.574,0mg | pH8.5,Fungi,ControlP
Priestia aryabhattai,0.4297757,0.271,0mg | pH8.5,Bacteria,ControlP
Priestia aryabhattai,0.37673385,0.266,0mg | pH8.5,Bacteria,ControlP
Priestia aryabhattai,0.39465419,0.347,0mg | pH8.5,Bacteria,ControlP
Priestia aryabhattai,0.3648178,0.271,0mg | pH8.5,Bacteria,ControlP
