	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
sample-13	0.0	0.49555619683905533	0.5755810902985466	0.5556590353930193	0.4785097154450216	0.5322857092887	0.6711294168401047	0.706751257790137	0.52637132646577	0.7213623193475232	0.5834834519707808	0.5601698818289406
sample-14	0.49555619683905533	0.0	0.530125749864456	0.49265438900257097	0.5346948948003568	0.4785519818575068	0.730908698719182	0.7749925669412526	0.5450749427217237	0.7505276014248153	0.642985815974955	0.5969780972535577
sample-15	0.5755810902985466	0.530125749864456	0.0	0.47770519614530316	0.5166179874191837	0.494591356664393	0.7647014242323545	0.8043983303309605	0.5830564154584302	0.6598209653065626	0.6439229643621269	0.6227678961820312
sample-16	0.5556590353930193	0.49265438900257097	0.47770519614530316	0.0	0.4997376567500918	0.4578545569022509	0.7196672904606164	0.7679107566562312	0.5496790667576124	0.714545767237409	0.6395170552261691	0.6264392442182463
sample-17	0.4785097154450216	0.5346948948003568	0.5166179874191837	0.4997376567500918	0.0	0.4738356332091575	0.7151535290996963	0.760519964321318	0.5152377704321668	0.6755426132885601	0.5872641096944575	0.5783808757600667
sample-18	0.5322857092887	0.4785519818575068	0.494591356664393	0.4578545569022509	0.4738356332091575	0.0	0.7444193760894532	0.7890847718488203	0.5037223592236971	0.690988800858154	0.5741498621240475	0.5334983180882756
sample-19	0.6711294168401047	0.730908698719182	0.7647014242323545	0.7196672904606164	0.7151535290996963	0.7444193760894532	0.0	0.10530020812564493	0.7093324238767337	0.8157796549894771	0.777108802490512	0.7627105304580513
sample-20	0.706751257790137	0.7749925669412526	0.8043983303309605	0.7679107566562312	0.760519964321318	0.7890847718488203	0.10530020812564493	0.0	0.7463053325637932	0.851477283989483	0.8045994601558902	0.7920681975852761
sample-21	0.52637132646577	0.5450749427217237	0.5830564154584302	0.5496790667576124	0.5152377704321668	0.5037223592236971	0.7093324238767337	0.7463053325637932	0.0	0.5828844348834904	0.4844080661804572	0.5002608857874087
sample-22	0.7213623193475232	0.7505276014248153	0.6598209653065626	0.714545767237409	0.6755426132885601	0.690988800858154	0.8157796549894771	0.851477283989483	0.5828844348834904	0.0	0.610477114923833	0.6850933650477173
sample-23	0.5834834519707808	0.642985815974955	0.6439229643621269	0.6395170552261691	0.5872641096944575	0.5741498621240475	0.777108802490512	0.8045994601558902	0.4844080661804572	0.610477114923833	0.0	0.5036553159487206
sample-24	0.5601698818289406	0.5969780972535577	0.6227678961820312	0.6264392442182463	0.5783808757600667	0.5334983180882756	0.7627105304580513	0.7920681975852761	0.5002608857874087	0.6850933650477173	0.5036553159487206	0.0
