	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
sample-13	0.0	0.684053651266766	0.723583460949464	0.7195540308747856	0.6908768821966342	0.7209805335255948	0.7426900584795322	0.7619047619047619	0.7179902755267423	0.7083753784056509	0.7166521360069747	0.7516339869281046
sample-14	0.684053651266766	0.0	0.6909200240529164	0.6908496732026144	0.6621803499327052	0.6918671248568156	0.7594762232942798	0.8222565687789799	0.714987714987715	0.7552155771905424	0.7294871794871794	0.7399660825325043
sample-15	0.723583460949464	0.6909200240529164	0.0	0.6486870120652946	0.6836236933797909	0.7139493819894055	0.7806451612903226	0.8395765472312704	0.7644141351518909	0.7746376811594203	0.7732899022801303	0.7814645308924485
sample-16	0.7195540308747856	0.6908496732026144	0.6486870120652946	0.0	0.6538461538461539	0.6839005235602095	0.7615571776155717	0.8308411214953271	0.7651052274270197	0.7696674776966748	0.7489019033674963	0.7866004962779156
sample-17	0.6908768821966342	0.6621803499327052	0.6836236933797909	0.6538461538461539	0.0	0.6403269754768393	0.732606873428332	0.7964946445959105	0.7286821705426356	0.7292724196277496	0.7205438066465257	0.7636942675159236
sample-18	0.7209805335255948	0.6918671248568156	0.7139493819894055	0.6839005235602095	0.6403269754768393	0.0	0.755677907777013	0.8269525267993875	0.7334137515078407	0.7496522948539638	0.7243589743589743	0.7390078917700112
sample-19	0.7426900584795322	0.7594762232942798	0.7806451612903226	0.7615571776155717	0.732606873428332	0.755677907777013	0.0	0.6700507614213198	0.6967741935483871	0.6873126873126874	0.6938421509106678	0.7451682176091625
sample-20	0.7619047619047619	0.8222565687789799	0.8395765472312704	0.8308411214953271	0.7964946445959105	0.8269525267993875	0.6700507614213198	0.0	0.7382297551789078	0.6976160602258469	0.7358684480986639	0.7732558139534884
sample-21	0.7179902755267423	0.714987714987715	0.7644141351518909	0.7651052274270197	0.7286821705426356	0.7334137515078407	0.6967741935483871	0.7382297551789078	0.0	0.6214592274678111	0.6190476190476191	0.666883963494133
sample-22	0.7083753784056509	0.7552155771905424	0.7746376811594203	0.7696674776966748	0.7292724196277496	0.7496522948539638	0.6873126873126874	0.6976160602258469	0.6214592274678111	0.0	0.6135310472659871	0.7079318013343218
sample-23	0.7166521360069747	0.7294871794871794	0.7732899022801303	0.7489019033674963	0.7205438066465257	0.7243589743589743	0.6938421509106678	0.7358684480986639	0.6190476190476191	0.6135310472659871	0.0	0.6791808873720137
sample-24	0.7516339869281046	0.7399660825325043	0.7814645308924485	0.7866004962779156	0.7636942675159236	0.7390078917700112	0.7451682176091625	0.7732558139534884	0.666883963494133	0.7079318013343218	0.6791808873720137	0.0
