Plot,Row,Treatment,Shannon,Simpson,Phos,Buffer
Low,2.5,Treatment,1.616044,0.7782825,2,1.4
Low,2.5,Treatment,1.5490024,0.7566000,2,1.4
Low,2.5,Treatment,1.5294433,0.7488089,2,1.4
Low,6.5,Control,1.655944,0.7602575,4,1.9
Low,6.5,Control,1.3302095,0.6298816,4,1.9
Low,6.5,Control,1.2044323,0.5831658,4,1.9
Up,9.5,Control,1.1920549,0.6097254,16,1
Up,9.5,Control,0.8715064,0.4175347,16,1
Up,9.5,Control,1.1036475,0.5007396,16,1
Low,10.5,Treatment,1.3535914,0.7074653,3,1.4
Low,10.5,Treatment,1.1765327,0.6420408,3,1.4
Low,10.5,Treatment,0.8556887,0.5450000,3,1.4
Low,14.5,Control,0.8884825,0.4785503,6,2.1
Low,14.5,Control,1.3361819,0.6946021,6,2.1
Low,14.5,Control,1.0831728,0.5534010,6,2.1
Low,18.5,Treatment,1.1822768,0.6317723,12,1.1
Low,18.5,Treatment,0.9470572,0.5703125,12,1.1
Low,18.5,Treatment,0.7297747,0.3617998,12,1.1
Low,22.5,Control,0.2925085,0.1567347,12,2.3
Low,22.5,Control,0.3488321,0.1975309,12,2.3
Low,22.5,Control,0.8106688,0.4328512,12,2.3
Up,25.5,Control,1.494162,0.6903392,21,0.8
Up,25.5,Control,1.1119956,0.5253772,21,0.8
Up,25.5,Control,1.0460288,0.5515543,21,0.8
Up,30.5,Treatment,1.3925214,0.6513841,23,0.7
Up,30.5,Treatment,1.159314,0.5484429,23,0.7
Up,30.5,Treatment,1.3950995,0.6660900,23,0.7
Up,33.5,Control,0.9568115,0.4951989,19,0.9
Up,33.5,Control,1.1001792,0.5936524,19,0.9
Up,33.5,Control,1.4714887,0.6990997,19,0.9
Up,37.5,Treatment,1.0627376,0.5750000,21,1
Up,37.5,Treatment,1.1801659,0.5916667,21,1
Up,37.5,Treatment,0.8938658,0.5305026,21,1
Up,45.5,Treatment,0.8909286,0.4166667,35,1
Up,45.5,Treatment,1.2621488,0.5923585,35,1
Up,45.5,Treatment,1.3924977,0.6267456,35,1
