Plot,Row,Bag,Time,Weight,Treatment,Phos,Buffer,Month
Low,2.5,10a,0,1.84,Treatment,2,1.4,October '23
Low,2.5,10b,0,1.82,Treatment,2,1.4,October '23
Low,2.5,1a,0,1.76,Treatment,2,1.4,October '23
Low,2.5,1b,0,1.91,Treatment,2,1.4,October '23
Low,2.5,2a,0,1.82,Treatment,2,1.4,October '23
Low,2.5,2b,0,1.85,Treatment,2,1.4,October '23
Low,2.5,3a,0,1.82,Treatment,2,1.4,October '23
Low,2.5,3b,0,1.81,Treatment,2,1.4,October '23
Low,2.5,4a,0,1.85,Treatment,2,1.4,October '23
Low,2.5,4b,0,1.74,Treatment,2,1.4,October '23
Low,2.5,5a,0,1.84,Treatment,2,1.4,October '23
Low,2.5,5b,0,1.8,Treatment,2,1.4,October '23
Low,2.5,6a,0,1.85,Treatment,2,1.4,October '23
Low,2.5,6b,0,1.78,Treatment,2,1.4,October '23
Low,2.5,7a,0,1.87,Treatment,2,1.4,October '23
Low,2.5,7b,0,1.84,Treatment,2,1.4,October '23
Low,2.5,8a,0,1.8,Treatment,2,1.4,October '23
Low,2.5,8b,0,1.78,Treatment,2,1.4,October '23
Low,2.5,9a,0,1.81,Treatment,2,1.4,October '23
Low,2.5,9b,0,1.76,Treatment,2,1.4,October '23
Low,6.5,10a,0,1.88,Control,4,1.9,October '23
Low,6.5,10b,0,1.82,Control,4,1.9,October '23
Low,6.5,1a,0,1.84,Control,4,1.9,October '23
Low,6.5,1b,0,1.83,Control,4,1.9,October '23
Low,6.5,2a,0,1.85,Control,4,1.9,October '23
Low,6.5,2b,0,1.8,Control,4,1.9,October '23
Low,6.5,3a,0,1.82,Control,4,1.9,October '23
Low,6.5,3b,0,1.78,Control,4,1.9,October '23
Low,6.5,4a,0,1.82,Control,4,1.9,October '23
Low,6.5,4b,0,1.82,Control,4,1.9,October '23
Low,6.5,5a,0,1.78,Control,4,1.9,October '23
Low,6.5,5b,0,1.84,Control,4,1.9,October '23
Low,6.5,6a,0,1.95,Control,4,1.9,October '23
Low,6.5,6b,0,1.84,Control,4,1.9,October '23
Low,6.5,7a,0,1.79,Control,4,1.9,October '23
Low,6.5,7b,0,1.86,Control,4,1.9,October '23
Low,6.5,8a,0,1.85,Control,4,1.9,October '23
Low,6.5,8b,0,1.81,Control,4,1.9,October '23
Low,6.5,9a,0,1.83,Control,4,1.9,October '23
Low,6.5,9b,0,1.83,Control,4,1.9,October '23
Up,9.5,10a,0,1.89,Control,16,1,October '23
Up,9.5,10b,0,1.83,Control,16,1,October '23
Up,9.5,1a,0,1.75,Control,16,1,October '23
Up,9.5,1b,0,1.85,Control,16,1,October '23
Up,9.5,2a,0,1.93,Control,16,1,October '23
Up,9.5,2b,0,1.84,Control,16,1,October '23
Up,9.5,3a,0,1.84,Control,16,1,October '23
Up,9.5,3b,0,1.8,Control,16,1,October '23
Up,9.5,4a,0,1.79,Control,16,1,October '23
Up,9.5,4b,0,1.89,Control,16,1,October '23
Up,9.5,5a,0,1.8,Control,16,1,October '23
Up,9.5,5b,0,1.83,Control,16,1,October '23
Up,9.5,6a,0,1.78,Control,16,1,October '23
Up,9.5,6b,0,1.82,Control,16,1,October '23
Up,9.5,7a,0,1.84,Control,16,1,October '23
Up,9.5,7b,0,1.75,Control,16,1,October '23
Up,9.5,8a,0,1.8,Control,16,1,October '23
Up,9.5,8b,0,1.81,Control,16,1,October '23
Up,9.5,9a,0,1.85,Control,16,1,October '23
Up,9.5,9b,0,1.85,Control,16,1,October '23
Low,10.5,10a,0,1.82,Treatment,3,1.4,October '23
Low,10.5,10b,0,1.74,Treatment,3,1.4,October '23
Low,10.5,1a,0,1.78,Treatment,3,1.4,October '23
Low,10.5,1b,0,1.85,Treatment,3,1.4,October '23
Low,10.5,2a,0,1.84,Treatment,3,1.4,October '23
Low,10.5,2b,0,1.84,Treatment,3,1.4,October '23
Low,10.5,3a,0,1.81,Treatment,3,1.4,October '23
Low,10.5,3b,0,1.81,Treatment,3,1.4,October '23
Low,10.5,4a,0,1.81,Treatment,3,1.4,October '23
Low,10.5,4b,0,1.86,Treatment,3,1.4,October '23
Low,10.5,5a,0,1.79,Treatment,3,1.4,October '23
Low,10.5,5b,0,1.94,Treatment,3,1.4,October '23
Low,10.5,6a,0,1.82,Treatment,3,1.4,October '23
Low,10.5,6b,0,1.85,Treatment,3,1.4,October '23
Low,10.5,7a,0,1.86,Treatment,3,1.4,October '23
