Sample,Treatment ,Abundance,Year,Species
sample-1,Control,0.0,Year one,Thiobacillus
sample-10,Treatment,55.0,Year one,Thiobacillus
sample-11,Treatment,306.0,Year one,Thiobacillus
sample-12,Treatment,18.0,Year one,Thiobacillus
sample-2,Control,37.0,Year one,Thiobacillus
sample-3,Control,0.0,Year one,Thiobacillus
sample-4,Treatment,16.0,Year one,Thiobacillus
sample-5,Treatment,35.0,Year one,Thiobacillus
sample-6,Treatment,258.0,Year one,Thiobacillus
sample-7,Control,0.0,Year one,Thiobacillus
sample-8,Control,0.0,Year one,Thiobacillus
sample-9,Control,0.0,Year one,Thiobacillus
sample-13,Treatment,6992.0,Year two,Thiobacillus
sample-14,Control,25.0,Year two,Thiobacillus
sample-15,Treatment,3662.0,Year two,Thiobacillus
sample-16,Control,133.0,Year two,Thiobacillus
sample-17,Treatment,1204.0,Year two,Thiobacillus
sample-18,Control,0.0,Year two,Thiobacillus
sample-19,Control,0.0,Year two,Thiobacillus
sample-20,Control,0.0,Year two,Thiobacillus
sample-21,Treatment,2585.0,Year two,Thiobacillus
sample-22,Control,0.0,Year two,Thiobacillus
sample-23,Treatment,10893.0,Year two,Thiobacillus
sample-24,Treatment,2338.0,Year two,Thiobacillus
