Row,Change,Treatment,Plot
6.5,-0.435,Control,Low
14.5,-0.43,Control,Low
22.5,-0.725,Control,Low
2.5,-0.59,Treatment,Low
10.5,-0.355,Treatment,Low
18.5,-0.345,Treatment,Low
9.5,-0.575,Control,Up
25.5,-0.4,Control,Up
33.5,-0.53,Control,Up
30.5,-0.565,Treatment,Up
37.5,0.005,Treatment,Up
45.5,-0.79,Treatment,Up
2.5,-1.015,Treatment,Low
6.5,0.18,Control,Low
10.5,-0.2,Treatment,Low
14.5,-0.01,Control,Low
18.5,1.485,Treatment,Low
22.5,0.01,Control,Low
9.5,0.025,Control,Up
25.5,-0.25,Control,Up
30.5,-0.15,Treatment,Up
33.5,0,Control,Up
37.5,0,Treatment,Up
45.5,-0.025,Treatment,Up
